label	text_a
0	来话人2017年7月16日14:00左右，在天府三街地铁站购买前往犀浦的地铁票，花费7元，其随后在春熙路地铁站下车，因其稍后需要前往犀浦，咨询地铁工作人员是否可以将票里剩余的钱转移在另一张购买的票里被拒，认为不合理，建议相关部门加强管理。（后期联系：18382129097）
0	来话人2017年7月1日13:00在人民北路地铁站搭乘地铁，其在窗口处被告知现金无法购票，多次协商未果，请相关部门协调处理该问题。
0	来话人2017年7月1日在银河路四段双流图书馆工地做工的时候，手指受伤。但工头拒绝做出赔偿，且拒绝发放其2017年4月至6月的工资10000元。请处理。
0	来话人2月18日在剑南大道南段万科翡翠公园工地做工到至今，反映承建方拖欠其2017年2月-至今的工资共计2万余元未发放。请部门协调处理。
0	来话人2月中旬开始在都江堰市玉堂镇都汶高速收费站旁边的蓝光水果乐园在建工地做工，反映3月18日其在工地上受了工伤，其4月12日出院，医生让其休息4个月，但是承建方只支付了其医疗费和1个月的误工费，拒绝支付剩下3个月的误工费，请协调处理。
0	来话人4月20日开始在天府新区修建锦江4路、锦江11路、锦江9路、锦江22路、锦江13路等兴隆湖周边道路，承建方中铁集团承诺每月结算工资，但至今未发放过工资，距今已经拖欠包含来话人在内50名工友工资30万元左右。
0	来话人5月23日-6月10日在茶花街龙湖在建工地做工，反映老板拖欠其部分工资，共计600元，请部门协调发放。
0	来话人5月26日在古柏路53号金建小学做工，反映凯源建筑工程有限公司拖欠其及工人12人工资共计11万余元。希望相关部门处理。
0	来话人5月29日，在科园二路航利中心3栋1单元7楼汇展建设有限公司做装修，6月2日完工，反映包工头拖欠其28000元工资，当时包工头承诺完工后5天内支付其工资，但直到现在都未支付其工资，请部门协调处理。（包工头信息：何老板18608006989）
0	来话人6月27日18:50在倪佳桥地铁站乘坐地铁时携带了指甲油，工作人员李杰拒绝让其入内，来话人称其携带指甲油多次乘坐地铁没有受到过任何阻拦，对此表示不满，请相关部门调查处理。
0	来话人7月16日10:38，在书房地铁站充值地铁费，但窗口的收费人员拒绝让其使用微信、支付宝，且态度恶劣，直接让其走，对此不满，请部门查处。
0	来话人7月19日11:20左右经过环港路S30路公交车（观庄路站-综保南站）的环港路广都大道口站公交车站时，该处的地铁在建工地浇筑水泥时将水泥溅射到其身上和路上，反映该工地施工时未做好相应防护措施，认为存在安全隐患。请相关部门核实处理。
0	来话人7月21日14:40在22城站乘坐了地铁1号线（往升仙湖方向），后发现该地铁上的到站显示器上一直显示下一站到天府五街站，故希望相关部门及时调整，请处理。
